Index,cmd_x,cmd_y,cmd_z,theta_1,theta_2,theta_3,meas_x,meas_y,meas_z
4672,54.195,-104.717,-203.123,-22.7,5.5,36.2,50.122,-97.266,-202.281
4673,49.357,107.135,-233.601,25.9,45.7,-6.6,46.524,99.062,-233.279
4674,-87.126,-60.273,-221.764,25.8,-16.3,29.6,-82.512,-54.866,-220.507
4675,98.135,-37.178,-204.538,-26.7,23.5,15.2,90.478,-38.528,-203.382
4676,83.88,-88.05,-210.578,-21.6,20.8,36.2,77.948,-84.075,-208.252
4677,-74.886,-30.411,-212.156,16.5,-21.3,11,-69.845,-27.471,-211.705
4678,73.996,17.529,-232.198,-3.3,30.5,7.1,68.249,12.736,-230
4679,-32.899,98.337,-193.544,21.6,4.1,-32.9,-27.665,91.842,-196.014
4680,97.58,32.413,-219.074,-8.7,37.1,1.7,89.892,25.416,-218.811
4681,122.913,-19.279,-216.598,-17,41.3,22,113.869,-24.502,-214.957
4682,15.671,0.276,-214.617,-9,-0.9,-5.1,14.395,-1.083,-213.279
4683,-124.728,3.23,-206.771,40.6,-20.2,10.5,-115.31,2.635,-208.535
4684,65.172,27.501,-217.856,-9.3,22.7,-4.9,59.842,22.355,-216.932
4685,-46.132,-48.461,-193.746,-6.8,-32.3,4.1,-43.743,-43.549,-195.132
4686,-12.631,89.998,-213.079,20.9,14.8,-21.2,-9.574,83.43,-213.37
4687,5.544,15.889,-223.175,1,3.7,-4.5,5.495,13.329,-221.187
4688,-88.568,29.299,-215.533,31.4,-11.4,-1.9,-80.241,27.003,-216.343
4689,27.673,12.588,-224.924,-3.2,10.4,-1.7,25.417,9.794,-222.825
4690,-76.02,13.303,-204.604,18.6,-21.2,-7.3,-69.299,12.29,-205.678
4691,-71.544,67.439,-223.127,36.5,4,-7.2,-63.549,63.107,-223.659
4692,-67.774,-5.589,-203.118,11.4,-24.7,-4.1,-62.376,-4.983,-203.85
4693,-36.711,-34.96,-221.959,6.4,-11.8,12.2,-34.299,-32.101,-220.056
4694,21.939,66.267,-196.793,-4.8,7.4,-30.1,20.574,60.027,-198.559
4695,91.616,-12.588,-237.098,-5.2,35.9,21.3,84.7,-16.354,-234.079
4696,-10.171,-52.507,-194.798,-19.6,-25.2,3.6,-10.295,-47.574,-195.893
4697,-38.962,-17.68,-228.827,12,-6.7,10.1,-36.157,-16.256,-226.461
