X,Y,Z
1881.259,-1061.698,-494.042
1796.132,-1139.311,-517.897
1825.927,-1069.83,-517.693
1755.626,-1030.553,-516.797
1893.227,-1113.628,-514.041
1743.078,-1078.51,-518.066
1821.043,-1004.855,-509.718
1870.556,-1042.004,-505.422
1891.667,-1072.541,-518.196
1816.416,-1080.812,-506.049
1833.215,-1045.497,-495.582
1759.99,-1082.278,-521.267
1847.238,-1108.952,-518.304
1901.116,-1107.211,-497.351
1761.828,-1033.05,-522.045
1806.331,-1038.31,-518.959
1826.067,-1100.056,-518.249
1828.347,-1069.532,-519.937
1818.129,-1065.799,-505.912
1798.129,-1030.587,-511.614
1863.708,-1117.594,-495.097
1809.06,-1107.083,-513.411
1812.103,-998.309,-498.689
1795.529,-1158.385,-516.397
1833.404,-1079.388,-501.363
1820.074,-1007.13,-518.495
1750.924,-1075.192,-515.044
1828.773,-1076.396,-510.804
1846.172,-1010.719,-518.265
1810.514,-1161.122,-518.09
1751.56,-1064.239,-504.684
1735.474,-1108.546,-521.529
1893.526,-1063.595,-511.052
1769.932,-1127.899,-521.412
1796.888,-1074.473,-510.314
1776.526,-1058.461,-505.515
1793.741,-1055.63,-505.614
1824.397,-1093.222,-516.811
1828.137,-1111.56,-499.199
1886.988,-1108.892,-516.428
1732.788,-1093.471,-511.015
1807.9,-995.117,-503.181
1785.213,-1100.173,-507.298
1837.686,-998.421,-507.758
1798.474,-1038.81,-500.069
1818.785,-1110.49,-506.058
1726.676,-1090.025,-508.908
1848.643,-1048.738,-507.235
1901.763,-1115.31,-498.052
1824.339,-1118.674,-519.667
1732.229,-1117.817,-510.201
1747.323,-1029.645,-502.02
1813.294,-1103.357,-520.275
1824.774,-1000.916,-501.261
1810.357,-1016.399,-510.547
1875.103,-1071.483,-511.894
1735.212,-1104.531,-522.974
1802.494,-1049.843,-508.177
1784.749,-1028.584,-497.317
1889.066,-1116.496,-495.089
1857.299,-1046.104,-509.342
1887.124,-1044.323,-515.618
1831.764,-1162.712,-510.026
1738.484,-1113.449,-508.216
1797.424,-1113.218,-521.486
1857.927,-1116.19,-510.999
1811.343,-1016.807,-511.178
1900.705,-1118.826,-511.76
1883.613,-1069.587,-517.27
1740.564,-1072.991,-505.338
1765.487,-1030.401,-510.232
1764.979,-1077.676,-515.854
1842.5,-1150.368,-515.48
1760.692,-1102.165,-503.453
1868.371,-1010.538,-523.109
1834.723,-1077.688,-511.833
1765.183,-1073.76,-509.89
1802.003,-1045.211,-521.545
1892.569,-1035.128,-500.447
1857.063,-1037.376,-505.363
1778.474,-1020.244,-516.051
1850.109,-1033.423,-507.144
1876.179,-1018.655,-507.516
1880.766,-1082.67,-503.541
1806.544,-1017.641,-503.525
1866.112,-1083.597,-498.488
1829.708,-1032.552,-502.675
1796.443,-1055.35,-513.977
1750.676,-1040.088,-512.851
1753.3,-1101.333,-518.991
1743.661,-1032.687,-502.59
1856.066,-1067.245,-511.443
1845.674,-1018.344,-512.267
1855.259,-1030.63,-501.804
1863.542,-1094.019,-514.061
1862.63,-1006.284,-508.001
1843.069,-1101.009,-510.62
1796.458,-1134.567,-520.482
1795.833,-1098.101,-506.324
1835.862,-1130.873,-509.557
1740.797,-1066.894,-522.291
1777.054,-1099.825,-505.303
1846.088,-1147.773,-512.064
1749.817,-1051.007,-521.344
1848.433,-1135.274,-497.873
1800.874,-1123.746,-504.778
1852.011,-1001.411,-521.257
1815.055,-1090.724,-513.471
1835.487,-1172.291,-514.946
1813.917,-1120.252,-519.554
1770.067,-1034.916,-506.119
1798.574,-1007.796,-519.631
1843.651,-1087.373,-517.013
1853.125,-1132.238,-518.773
1857.198,-1015.165,-513.877
1851.019,-1164.727,-509.266
1740.097,-1106.029,-509.787
1898.432,-1096.247,-498.845
1884.886,-1026.42,-502.204
1746.021,-1070.581,-503.922
1813.898,-1074.683,-503.152
1901.762,-1061.419,-496.796
1871.694,-1104.176,-497.973
1876.776,-1035.705,-517.793
1904.088,-1079.611,-516.773
1893.056,-1093.922,-516.675
1812.293,-1128.494,-520.03
1798.888,-1146.336,-517.038
1876.823,-1032.804,-497.295
1847.539,-1012.129,-501.218
1753.019,-1023.735,-514.934
1761.295,-1024.559,-502.037
1866.598,-1017.746,-513.997
1830.974,-1067.473,-512.687
1886.606,-1052.654,-516.687
1790.279,-1029.13,-517.747
1838.128,-1118.461,-507.633
1794.088,-1059.916,-509.367
1768.681,-1089.307,-509.237
1737.954,-1063.66,-523.957
1780.241,-1051.669,-510.462
1854.439,-1161.527,-507.834
1836.323,-1071.541,-516.439
1733.406,-1096.859,-512.45
1796.829,-1066.59,-522.018
1798.23,-1040.244,-506.003
1885.144,-1085.367,-516.556
1756.314,-1046.348,-513.118
1827.329,-1093.047,-495.927
1888.951,-1131.581,-516.315
1876.163,-1086.098,-496.538
1862.102,-1135.38,-506.184
1880.146,-1046.744,-502.165
1804.291,-1115.058,-515.27
1731.188,-1113.103,-502.313
1813.157,-1015.766,-500.554
1795.103,-1105.832,-511.232
1788.701,-1129.448,-509.302
1884.205,-1041.588,-498.383
1776.724,-1015.429,-506.235
1791.601,-1029.31,-499.985
1888.376,-1124.411,-503.264
1755.99,-1142.199,-516.507
1770.021,-1132.374,-515.467
1773.85,-1035.793,-502.84
1900.277,-1117.731,-500.511
1884.908,-1107.355,-506.696
1781.166,-1119.066,-512.21
1849.696,-1011.734,-515.964
1783.454,-1155.003,-518.451
1801.591,-1107.227,-510.108
1895.709,-1072.061,-508.487
1877.943,-1100.8,-501.293
1897.208,-1122.89,-502.472
1757.417,-1030.56,-521.14
1827.743,-993.392,-504.533
1896.299,-1082.99,-509.134
1859.054,-1156.965,-500.81
1856.726,-1152.631,-502.817
1821.411,-1012.882,-512.273
1873.13,-1044.313,-506.487
1816.047,-1067.943,-509.691
1754.762,-1112.542,-523.112
1871.231,-1129.428,-496.898
1804.223,-1152.886,-520.114
1849.455,-1003.453,-511.961
1823.484,-1076.426,-499.631
1891.314,-1055.975,-503.245
1813.476,-1040.714,-516.44
1751.403,-1053.456,-520.85
1837.613,-1090.985,-503.062
1885.955,-1097.211,-503.814
1768.731,-1078.727,-518.017
1856.869,-1147.799,-514.62
1879.204,-1065.596,-501.961
1812.681,-1171.508,-513.775
1852.129,-1124.719,-511.103
1728.391,-1071.527,-511.168
1834.028,-1074.62,-514.694
1811.97,-1043.64,-513.279
1896.731,-1071.715,-510.933
1875.167,-1073.407,-503.119
1850.43,-1104.052,-502.352
1818.208,-1063.882,-520.365
1852.028,-1106.458,-512.418
1765.608,-1018.722,-499.68
1799.63,-1137.09,-517.746
1875.041,-1145.597,-511.159
1835.312,-1042.853,-515.826
1804.031,-1125.656,-507.337
