epoch,total,data,phys
0,30.29694224475475,13.974585217036559,32.64471395096082
1,10.418669727411164,9.164900142155336,2.507539193281967
2,8.223417900921254,7.987803810098198,0.47122815636436594
3,8.126372808820745,7.680874085158445,0.8909974433063121
4,7.255740203214495,6.026850681626395,2.4577790217453175
5,4.691720369156827,3.719851509908612,1.9437377285421564
6,2.8689099784647483,2.4318756481234947,0.8740686591756478
7,2.1427879581290683,2.027870639656367,0.2298346379081185
8,1.982555883654048,1.9647199324007785,0.03567190225539583
9,2.0317648394723955,1.8855930526604814,0.2923435732889711
10,2.027581579229805,1.650259369209911,0.7546444207095029
11,1.844534376029218,1.4727263068884946,0.7436161382814471
12,1.5697750094231595,1.409630187106936,0.3202896471438783
13,1.429525924532601,1.3928438569052835,0.0733641367928868
14,1.4114962387620733,1.3899376968319497,0.04311708197667358
15,1.5952906277072563,1.378540106034011,0.4335010473647814
16,2.758732609869389,1.3506330388985324,2.8161991419417136
17,1.6113122966182365,1.3219456659274156,0.5787332538473472
18,1.4152950868847665,1.3039730331870947,0.22264410752091515
19,1.3127370222230976,1.298300402552894,0.02887323938226432
20,1.350566226779745,1.2967295184564054,0.10767341815353779
21,1.4790791755311945,1.2850730064209928,0.3880123281746768
22,1.5823347005951272,1.2645758772164248,0.6355176524499829
23,1.4502616119518708,1.2459045276882943,0.40871415831399766
24,1.275256055794405,1.2367632445994388,0.07698562330032667
25,1.2487801855869507,1.2356789976023557,0.02620237645054801
26,1.340947670213292,1.23246682929189,0.2169616860285234
27,1.5568015257294259,1.2211783970339913,0.6712462533725781
28,1.5125417893522242,1.204861669393068,0.6153602372394519
29,1.3433721708447746,1.1935381812326025,0.29966797357362307
30,1.210729800918129,1.1890202553084728,0.04341909102049102
31,1.219723735967379,1.1879179249988514,0.0636116224393416
32,1.351277948430415,1.1840875165516072,0.3343808614136128
33,1.5277006937546675,1.1725954383276822,0.7102105038219624
34,1.3853120679935713,1.1589927318390836,0.45263867532269336
35,1.225360277663456,1.1514108813880535,0.14789879313680562
36,1.1592985115359338,1.1489347478981768,0.02072752696158511
37,1.2194779732923828,1.1478861553615398,0.14318363569425732
38,1.425933551252558,1.1409882397464153,0.5698906189939948
39,17.576018678673197,1.133641700396377,32.88475386580724
40,1.3066248786583374,1.1221985810258415,0.3688525939255618
41,1.1511006999886437,1.1162771681386434,0.06964706350117922
42,1.1339153207085106,1.1153607643052432,0.0371091128065345
43,1.2327410337630282,1.1127799136585064,0.23992224046018687
44,1.4303943729132749,1.1046893382340335,0.6514100693584828
45,1.4351102957564794,1.092741732684414,0.6847371204515521
46,1.1915822558188707,1.0834364810686432,0.21629154987716942
47,1.095544291848547,1.0807395552316408,0.029609473432633985
48,1.124241149492478,1.079771945483229,0.08893840860449866
49,1.286164193675759,1.076026946808515,0.42027449105562786
50,2.3301276745421164,1.066091324506181,2.5280727027507313
51,1.274924602066533,1.0555933374032547,0.438662532172846
52,1.1222146340970243,1.049514531754376,0.14540020425626066
53,1.0595982175194816,1.0484052955099705,0.022385843684164325
54,1.131072897254751,1.0466475006234779,0.16885079476940498
55,1.2900537801592538,1.0403735584087586,0.49936044182670253
56,1.3272079741686917,1.0303954944181979,0.5936249645238512
57,1.1559160184324457,1.0215807865174968,0.26867046466704164
58,1.0560637930136048,1.017263587103801,0.07760041231143006
59,1.0398814666472125,1.0166940779498455,0.04637477798073479
60,1.1437248257773647,1.0145702603157987,0.25830913176027576
61,1.2573493113008778,1.0062537551595923,0.5021911136220011
62,1.2243672105368604,0.9971869271457865,0.45436056845643547
63,1.0792462787266528,0.9899516430463684,0.17858927058621069
64,0.9995492934510949,0.9879153600234664,0.023267868257473023
65,1.0356140123324449,0.9874833139140954,0.0962613970041275
66,1.1900110546122775,0.9831655122590869,0.4136910851249534
67,22.181995621892842,0.9813363190447346,42.40131841080912
68,9.892853457606241,0.9784799293520745,17.82874705014604
69,1.4876370835170318,0.9736902097637734,1.0278937521945224
70,1.0686409381333362,0.9722526994314087,0.19277647505985218
71,1.7011604466465082,0.9704631895161746,1.4613945176092427
72,1.592795591340976,0.96353984749719,1.2585114796509904
