epoch,total,data,phys
0,27.554960625894953,13.739865463771178,27.630190166194787
1,9.057492063286599,7.696591146876303,2.721801838178313
2,5.342827854531534,4.437444097540352,1.8107675575138478
3,3.1844006314706266,2.785021459788419,0.7987583560890026
4,2.3214581581983675,2.0016767858119495,0.6395627543162764
5,1.921580110373122,1.653459565693073,0.5362410863463798
6,1.701287362347828,1.5000825762079004,0.402409565582704
7,1.5940489722101876,1.42988398838579,0.32832996999279834
8,1.517693012617947,1.3936308243971192,0.24812436907478932
9,1.4746512797441376,1.372656418031521,0.20398971848608402
10,1.4227886722328957,1.3586684066927834,0.12824053112208172
11,1.4051621485961956,1.3491438754488914,0.11203654428546349
12,1.3792638182640076,1.3423329096161918,0.07386181737934605
13,1.360267003600517,1.3374772215827126,0.045579566128468245
14,1.3479516074228823,1.3349091648385767,0.026084884770967987
15,1.344727739859163,1.3341761713617304,0.02110313723554437
16,1.342575054825022,1.333212210221237,0.01872569081907192
17,1.3434186738528562,1.3337394581751878,0.019358431355337078
18,1.3448903098535,1.3333533536852076,0.023073911195976682
19,1.3509109478988004,1.3317668551809332,0.03828818453580476
20,1.356982750839062,1.3276049035988498,0.058755696866284596
21,1.3696419124522905,1.321826363882322,0.09563109705622276
22,1.4284333151377988,1.3132896068390836,0.23028741944371983
23,1.5278372630644381,1.3030804449252869,0.4495136389571629
24,1.4858227646752689,1.289757672990306,0.39213018437449854
25,1.60991709084993,1.2757437249247947,0.6683467403891381
26,1.535175066315726,1.2610857084895788,0.5481787236888757
27,1.5566780868540988,1.2456164005097379,0.6221233803904458
28,1.5402110289321858,1.2300205240758617,0.6203810144006536
29,1.480891990527678,1.2155207117621818,0.5307425568612774
30,1.498367065459155,1.201372943567426,0.5939882508154666
31,1.5045259270105469,1.187097236011805,0.6348573794860518
32,1.4419291133291265,1.1726205546534463,0.5386171208673649
33,1.4751753261250056,1.1604124598958518,0.629525738820601
34,1.469241251436512,1.1457327256041967,0.6470170509949159
35,1.3785459369086148,1.1337237488687708,0.48964437507511527
36,1.3632186691412764,1.1208622559402766,0.48471283142486316
37,1.3249836212463593,1.1095909074451147,0.4307854269327742
38,1.327413303128789,1.0988043395990736,0.45721792572000053
39,1.313941876874881,1.090123670154743,0.44763641461227716
40,1.2037354459923304,1.0811902051896192,0.24509048210770895
41,1.2050377465365978,1.0744146569056456,0.26124618143847816
