orig_x,orig_y,orig_z,comp_x,comp_y,comp_z,pred_err_x,pred_err_y,pred_err_z
-23.81603779,8.787927731362725,-217.0599391,-24.48010757,9.615444390948106,-218.0692037,0.6640697851807928,-0.82751666,1.0092646510293548
95.36255564426429,-15.44795218,-208.2914703,103.78903798530592,-15.16225796,-208.8180176,-8.426482341,-0.285694216,0.5265472278746586
-6.121549314,5.413515697805083,-219.1340298,-5.403517138,5.971637509044005,-220.6372003,-0.718032176,-0.558121811,1.5031704703045534
-2.014843536,-44.05373769,-212.1787937,-1.496728803,-48.61498652,-212.9930396,-0.518114733,4.5612488281310775,0.8142459537002082
-18.8898937,-88.90120515,-223.3185603,-19.56812892,-97.28828066,-224.7477621,0.678235223095438,8.387075510126209,1.429201784697966
17.48095824842541,-93.47537803,-211.251842,18.743647148706287,-102.57658,-211.7665929,-1.2626889,9.101202007990821,0.5147508985575655
-68.47045183,-52.42546254,-227.1291079,-72.34219456,-56.50101053,-228.85929,3.871742727352867,4.075547991585005,1.7301821015766166
33.84038601320976,-93.36060708,-218.8061734,36.02254792058456,-101.8985365,-220.2300988,-2.182161907,8.537929466700547,1.4239254613765127
-3.390249456,-61.38931369,-218.1678033,-3.090744188,-67.35827826,-219.6712542,-0.299505268,5.968964571873272,1.5034509064008432
-34.29450894,-9.234970463,-217.375635,-35.85680581,-9.941086556,-218.4905888,1.5622968696137463,0.7061160930748454,1.1149538328228346
58.89071013041848,49.19208267248692,-219.8359899,65.9337830843233,53.39547973706368,-220.3496226,-7.043072954,-4.203397065,0.5136327351317789
59.353340045121556,-49.52021529,-229.0022138,64.12577799063374,-53.14773801,-231.8375423,-4.772437946,3.6275227232456473,2.835328452260171
32.98605107913054,76.26740862304214,-228.8495727,37.648001663876315,81.40215733397491,-230.1238738,-4.661950585,-5.134748711,1.2743010838612463
29.756311741696138,-81.18114661,-215.837789,31.99936931774286,-88.75603102,-217.1836956,-2.243057576,7.574884404318297,1.3459066595314653
