Index,cmd_x,cmd_y,cmd_z,theta_1,theta_2,theta_3,meas_x,meas_y,meas_z
5651,-97.222,69.603,-205.203,40.5,-6.5,-12.5,-89.568,63.845,-207.994
5652,2.569,-26.685,-211.317,-11.1,-9.7,1.7,1.492,-24.299,-210.505
5653,-64.658,-7.695,-225.639,20.7,-10.3,8.6,-60.509,-7.689,-224.156
5654,37.957,75.51,-227.257,12.4,29.5,-10,32.692,70.359,-226.313
5655,-122.024,4.557,-209.963,40.6,-18.3,10.9,-114.067,2.001,-211.308
5656,8.43,0.815,-198.752,-17.7,-12.9,-15.7,6.223,0.845,-199.881
5657,45.553,12.958,-221.589,-7.8,14.6,-2.1,40.252,11.539,-220.118
5658,-42.19,74.218,-198.146,17.8,-4.9,-28,-39.635,68.959,-200.048
5659,-7.67,-8.896,-191.232,-19.9,-24.4,-17.6,-8.226,-7.933,-193.418
5660,20.658,-86.864,-215.487,-12.2,-1.8,29.5,19.14,-78.646,-214.387
5661,6.887,-26.496,-203.09,-17.6,-13.8,-3,5.108,-23.654,-203.322
5662,-47.86,16.676,-200.116,5.2,-21.3,-16.1,-45.363,15.091,-201.42
5663,92.616,64.25,-223.297,2.3,43.6,-2.3,82.594,58.884,-223.972
5664,81.102,-15.935,-207.021,-23.8,18,4.4,73.785,-16.032,-206.432
5665,49.126,-41.613,-209.905,-21.3,4.1,10,44.792,-38.328,-208.767
5666,-87.404,81.714,-202.766,39.2,-3.4,-17.5,-80.565,75.714,-205.58
5667,38.4,110.804,-225.195,24.6,40.7,-12.6,32.996,104.538,-224.95
5668,29.177,96.784,-199.579,7.4,22.3,-29.1,24.32,90.478,-200.995
5669,4.386,-38.478,-239.527,4.4,6.5,20.5,3.526,-35.162,-236.094
5670,45.783,-48.923,-228.324,-9.6,12.4,21.4,41.975,-44.89,-225.657
5671,103.69,21.454,-207.243,-18.1,33.4,-0.9,93.744,17.949,-208.028
5672,94.333,22.383,-206.118,-18.8,29,-4.4,84.861,18.987,-206.87
5673,22.031,4.304,-204.758,-16.1,-4.1,-12.1,18.928,3.784,-204.823
5674,-50.199,105.899,-225.984,42.6,21.5,-10.9,-46.103,99.814,-226.222
5675,89.551,-15.304,-229.977,-9.7,31.8,18,81.936,-15.723,-227.631
5676,-30.111,62.679,-210.797,15.9,0.5,-19.6,-28.856,58.019,-211.099
5677,-92.121,-44.309,-191.299,14.3,-35.7,10.1,-86.74,-41.316,-193.108
5678,-67.1,28.67,-223.719,26.2,-5.7,-1.4,-62.717,25.932,-223.042
5679,88.184,24.156,-237.851,0.6,39.3,11.6,79.712,21.067,-236.264
5680,52.803,2.33,-230.197,-5.2,19.7,6.5,47.585,1.604,-227.657
5681,109.482,-59.033,-201.484,-28.2,27.8,26.1,101.799,-56.156,-200.372
5682,-8.797,112.967,-226.33,34.5,30.9,-13.6,-9.091,106.801,-225.676
5683,3.299,-22.039,-219.562,-5.8,-4.1,4.6,2.161,-20.059,-217.835
5684,114.748,-42.496,-210.103,-22.6,33.9,24.7,106.118,-41.077,-208.953
5685,5.203,-89.371,-222.898,-4.3,-1.7,33.1,4.685,-80.948,-221.335
5686,-35.903,-88.239,-224.681,8.5,-9.1,34.8,-34.345,-80.095,-223.295
5687,-95.73,-10.901,-232.745,35.9,-7.6,19.6,-89.665,-11.48,-231.561
