target_x,target_y,target_z,theta1,theta2,theta3
-78.1425,-41.982,-200.6517,-4.7394,-54.9455,-6.3326
-72.1551,-18.6063,-217.5512,4.0891,-40.6184,-9.4889
38.4706,-6.247,-203.3768,-53.8432,-24.8893,-37.0109
57.967,52.4711,-221.4673,-21.718,15.4433,-32.5067
32.5718,-8.7859,-222.5602,-32.9851,-11.7937,-18.4992
1.0711,85.8169,-210.488,-1.191,-0.984,-48.3844
90.5613,-15.7318,-192.7512,-62.9727,1.4463,-26.3305
29.9787,-33.1633,-235.709,-23.133,-5.4076,1.9497
-9.4528,-56.0304,-203.9544,-41.1359,-46.7986,-7.579
8.4424,51.4973,-231.6368,929.3929,1080.993,-4491.9634
-85.5016,-51.4183,-192.4412,-5.211,-60.5861,-3.0692
56.1189,52.4345,-225.4172,-18.4559,16.5998,-29.6139
-19.7407,-12.4442,-202.7222,-36.7549,-51.4578,-35.995
62.686,-14.5097,-230.456,-29.8633,7.54,-5.2212
-0.0758,-14.4786,-200.9142,-48.8596,-48.5552,-38.5185
-45.611,70.1343,-230.0752,20.5089,-7.0985,-28.6832
-62.5104,-0.9209,-239.6656,14.466,-20.635,-3.2774
-34.9438,-35.4977,-228.8968,-8.9643,-29.4425,-0.7528
-88.7568,-34.5752,-225.3133,16.6431,-34.5344,8.1158
76.7761,-3.0582,-221.5349,-36.0505,11.5527,-13.0571
-37.7655,21.9828,-190.3975,-30.5074,-66.7931,-67.9144
-52.1313,24.8437,-214.955,-0.0651,-35.8982,-33.305
-50.6419,-71.9821,-226.7981,-2.8857,-31.2278,20.0559
-0.5127,47.6454,-192.3004,-38.2273,-39.0106,-71.8391
32.0366,-40.4915,-201.403,-56.2793,-34.0155,-18.7807
5.9529,-64.2726,-198.551,-51.5277,-47.1752,-5.878
-2.6081,37.3531,-195.6929,-38.4116,-41.0471,-65.9333
-17.2353,84.3769,-196.9276,-3.3556,-17.8277,-60.3692
17.4314,66.8214,-201.1223,-24.3971,-10.746,-58.0803
29.2872,49.8475,-233.5681,-9.0335,8.7367,-26.3258
-49.9199,-8.8748,-209.9155,-12.1851,-46.4403,-25.021
-90.7004,-39.6722,-231.0526,20.5035,-30.0116,14.5392
-7.2465,26.9667,-208.8413,-25.9618,-31.819,-45.9523
72.4366,21.1621,-219.8344,-33.1446,13.1192,-23.895
22.5917,7.3415,-219.9832,-30.6383,-15.2966,-28.0907
-9.0515,2.4288,-232.4921,-11.7847,-17.3807,-16.4714
56.8431,63.878,-200.1001,-35.5181,7.756,-53.1114
-9.7294,8.7507,-225.1226,-16.1338,-22.6904,-24.7682
-3.956,98.5219,-194.0862,-2.3998,-6.3365,-61.4585
72.5194,11.0642,-211.3902,-42.9213,5.9847,-27.8265
23.7794,-65.8932,-219.5731,-34.9849,-20.5071,8.8605
44.1481,-63.6413,-204.089,-51.8533,-23.7829,0.7593
-7.0724,-52.9394,-229.5024,-19.5503,-23.2733,6.5016
-35.7325,-76.2806,-216.2549,-17.3193,-37.8275,15.0196
39.9542,-90.094,-215.735,-37.3187,-13.7957,23.0346
13.4857,0.1987,-224.025,-26.2025,-17.3028,-22.49
-48.8287,-33.0661,-234.1313,1.1499,-26.5754,3.6139
5.6399,40.9773,-205.0433,-29.2437,-25.0065,-52.9996
-33.5307,47.7169,-206.1244,-7.6376,-33.733,-49.954
-47.209,-36.69,-238.7777,3.2454,-22.9537,7.8775
-51.1473,-54.9313,-215.6989,-11.3373,-41.892,4.0589
54.7977,55.1019,-202.3098,-37.4016,4.142,-51.0442
47.9751,62.8588,-197.1625,-38.2246,0.451,-58.4119
42.9426,-13.4785,-237.1855,-22.5468,2.6395,-4.0711
-22.5878,2.2917,-193.9354,-44.0112,-63.9002,-56.933
-70.3911,30.2599,-216.3638,12.0836,-33.6992,-28.8678
1.1368,-50.0743,-229.0632,-22.5717,-21.4778,4.533
-24.076,-94.1731,-201.6875,-31.5682,-45.1374,18.5293
-41.9562,-63.2997,-236.3786,-0.7771,-23.7283,18.7408
66.2116,-6.9968,-199.4603,-58.9622,-10.336,-33.9648
6.6,30.7991,-221.6857,-18.4481,-14.0325,-34.1145
33.6632,39.7958,-204.9617,-38.1646,-11.9513,-50.68
-12.8765,26.1603,-191.4828,-45.1305,-58.447,-73.4089
-27.4539,36.1519,-192.643,-28.5945,-55.1021,-68.5155
4.7896,-47.192,-231.3541,-21.4755,-18.2643,4.6199
68.8647,-60.1698,-217.7515,-40.6541,0.5239,11.1409
-27.9915,62.7101,-192.0036,-14.3458,-40.4212,-68.105
64.3968,7.8217,-196.6196,-60.5844,-10.4288,-44.8487
-73.9389,1.2853,-237.9164,19.2492,-22.2339,-2.6946
33.0098,-30.9536,-214.2712,-42.5195,-20.7945,-13.9122
13.6015,-39.5361,-204.5756,-49.0774,-39.498,-18.2446
-84.056,42.779,-233.8103,30.8487,-16.7521,-14.1255
54.6856,-15.9809,-210.8461,-47.3161,-10.2967,-21.3327
14.0296,-28.953,-230.3671,-24.1636,-15.4016,-4.7616
-65.1808,-57.8433,-207.5435,-8.935,-48.6682,4.1632
-31.8201,57.5898,-211.576,-0.604,-23.8154,-45.5469
61.3433,31.9285,-224.4079,-26.2188,12.5129,-25.6244
79.8105,48.7363,-226.0702,-20.4093,27.2461,-23.061
-75.7804,6.3336,-229.9369,16.8874,-27.7157,-9.8439
45.2555,-9.4126,-224.5792,-32.9924,-4.3264,-14.9049
58.5981,-42.3383,-224.9972,-35.2937,-0.1769,3.5077
60.9708,44.1546,-236.9807,-12.901,22.1888,-18.2697
-23.5771,29.8534,-228.9963,-2.7016,-17.8379,-26.8468
-55.5279,49.0039,-228.533,16.7227,-17.2817,-26.0782
-10.4509,65.5805,-220.9168,-0.0758,-7.2875,-39.2912
-67.8453,-16.1847,-233.4955,11.4056,-27.5344,-0.7695
-62.2296,-53.4251,-198.7518,-17.3579,-57.1383,-4.9225
-0.1158,-2.8818,-232.64,-15.4885,-15.4828,-14.577
62.9212,5.8554,-228.1851,-29.0206,9.4903,-14.659
-57.2083,9.3566,-230.8983,8.4652,-25.7014,-14.4316
49.9543,60.9294,-217.334,-20.8516,12.3497,-38.4698
93.5311,-18.4054,-222.8596,-35.6426,19.7335,-0.8818
-5.3587,-15.8843,-229.4031,-18.2438,-21.4556,-11.6129
-23.1218,19.4005,-195.0999,-35.941,-57.1204,-61.7346
98.5963,6.1733,-239.4718,-20.5769,33.0206,1.7023
27.0959,-49.3317,-239.1309,-20.1991,-4.5573,11.3926
-67.9325,-4.665,-225.8493,8.4992,-32.5115,-10.9041
-50.6046,-57.3489,-198.3281,-25.2967,-57.4698,-5.3337
40.5377,23.8322,-205.8448,-44.1376,-13.2321,-45.2672
13.2281,-52.7337,-213.2723,-39.1413,-30.5772,-3.343
92.7744,-26.1866,-208.6589,-47.5342,11.1517,-6.6301
3.5182,57.0647,-208.2041,-18.1114,-15.7952,-50.829
-7.554,31.7027,-230.7551,-6.727,-11.5129,-26.5079
88.5183,-29.7827,-235.226,-27.421,22.0026,10.1288
-28.7556,22.4805,-203.545,-22.0285,-45.2234,-48.8691
-37.3684,55.8031,-197.8411,-7.9876,-39.4794,-59.2024
6.2477,98.9681,-222.1921,10.5804,13.972,-38.1251
-36.2681,19.1551,-226.3995,-1.9968,-25.4055,-24.7876
-85.1777,-37.6063,-202.4204,1.4697,-52.7798,-5.4769
75.1273,-60.6088,-194.2309,-60.9496,-11.8066,-0.4893
61.9962,66.8634,-227.9467,-11.653,25.3562,-27.8525
31.3217,-23.9401,-207.7806,-48.9515,-27.0544,-23.6413
49.0619,-38.3963,-216.0361,-42.6073,-11.503,-6.1333
65.6417,-65.7781,-209.17,-47.2964,-6.9731,9.1915
-10.8058,47.8305,-209.725,-15.3834,-23.9089,-48.3105
98.9734,10.8658,-227.8537,-28.0273,29.1173,-7.2055
-95.347,20.0567,-232.0307,30.5197,-23.2721,-6.6402
80.7903,-37.0618,-191.5714,-65.8558,-9.4005,-17.5531
-24.5166,33.6501,-211.1191,-13.7929,-32.359,-43.6882
43.3163,84.4693,-221.7887,-5.9096,20.9248,-36.5071
34.8957,76.8033,-210.0813,-16.4563,7.9165,-47.5342
-71.0356,-64.6023,-214.0668,-0.7525,-42.4315,13.4942
56.38,2.5588,-231.7499,-26.2318,7.761,-12.0581
89.3044,12.6219,-231.127,-25.7845,25.7948,-8.4344
60.8502,28.5974,-208.9314,-41.047,2.2268,-38.632
-15.4393,53.7687,-212.5863,-8.7166,-20.2754,-45.7568
71.7988,-49.0774,-201.5336,-55.6504,-8.8192,-4.5321
-55.2616,63.8487,-212.0658,13.4865,-24.4276,-41.3911
49.2221,28.1955,-198.6014,-52.5227,-12.4783,-53.3073
-26.7093,9.3997,-192.9412,-40.3339,-64.8768,-61.5243
50.3638,19.7395,-197.3948,-57.0992,-15.8095,-52.5419
64.7606,67.9732,-234.38,-6.9695,29.7556,-22.5911
78.6655,-1.6451,-230.5729,-28.5918,17.6314,-6.693
-63.552,-67.6417,-219.6277,-1.2921,-37.8067,16.4512
38.5459,-40.3131,-191.266,-71.5196,-42.766,-28.174
-61.7633,-10.6913,-224.1496,3.3327,-34.4029,-10.9511
-28.1275,-68.2645,-225.2351,-14.6307,-30.4657,14.0212
-37.864,73.2281,-217.0894,11.9058,-13.5469,-40.3796
79.506,-38.5118,-193.038,-64.345,-9.3422,-15.7276
16.0331,-61.5824,-212.3722,-40.0218,-29.8429,1.6412
-18.5791,43.0276,-190.6078,-33.1625,-52.392,-74.3534
-36.7908,27.2129,-215.4691,-6.8036,-32.9099,-36.3281
86.7608,47.4405,-220.7188,-24.7986,28.0844,-24.9587
-6.2569,-19.5407,-239.8739,-10.0247,-13.5237,-2.5325
36.7265,42.4094,-226.2754,-18.5917,5.0363,-30.4362
-60.2248,-19.9403,-207.2051,-9.6954,-49.9745,-19.22
-76.2735,10.2041,-232.3264,19.1203,-25.1758,-9.127
-65.0699,0.4116,-239.0273,15.5132,-21.0918,-3.6475
15.1868,24.3419,-193.5343,-56.4669,-41.3491,-68.238
-18.8459,-62.7484,-208.4375,-32.3775,-43.6533,0.3449
52.7011,76.6575,-239.3263,0.8526,29.7693,-21.8148
17.6966,93.4253,-205.4844,-5.8084,6.2291,-51.7429
