x,y,z
514.608,-1844.587,-523.862
406.9,-1835.947,-501.463
393.603,-1749.827,-523.375
329.18,-1803.07,-488.926
431.843,-1796.359,-511.998
498.283,-1743.552,-508.632
458.498,-1841.548,-498.428
492.244,-1851.618,-486.931
417.145,-1785.191,-491.752
423.615,-1807.195,-522.952
521.006,-1807.803,-508.215
473.382,-1713.044,-518.344
396.008,-1863.761,-516.647
532.641,-1821.169,-495.284
363.972,-1883.288,-495.876
419.819,-1810.839,-512.125
447.358,-1809.832,-524.275
526.6,-1805.481,-512.567
540.052,-1819.674,-519.375
395.752,-1768.398,-520.729
371.392,-1780.194,-497.318
468.395,-1705.826,-510.749
433.235,-1823.569,-514.704
479.362,-1765.393,-502.346
520.297,-1840.773,-496.707
472.963,-1892.558,-519.221
365.416,-1885.476,-518.205
404.313,-1779.64,-502.04
383.766,-1814.21,-517.026
424.081,-1688.151,-494.809
429.16,-1677.163,-503.316
452.528,-1862.598,-481.217
413.774,-1869.179,-523.417
409.266,-1734.234,-522.164
354.109,-1810.583,-502.161
382.705,-1851.558,-507.271
488.914,-1844.254,-490.862
490.035,-1756.03,-521.907
430.574,-1874.635,-487.806
507.445,-1865.661,-500.042
539.827,-1817.721,-510.717
494.512,-1734.85,-511.246
431.575,-1749.996,-486.434
529.515,-1745.248,-505.569
419.164,-1684.526,-520.944
509.705,-1727.121,-504.336
394.408,-1692.237,-484.885
379.905,-1869.834,-484.868
460.223,-1683.817,-487.169
529.651,-1757.869,-493.756
352.618,-1774.898,-491.069
373.249,-1734.19,-486.127
414.794,-1889.112,-506.761
346.425,-1868.739,-520.923
353.295,-1746.777,-513.963
390.414,-1892.56,-494.109
400.902,-1736.948,-488.951
396.203,-1775.612,-511.651
358.898,-1772.677,-504.033
476.273,-1851.455,-503.593
464.71,-1726.501,-507.614
405.902,-1759.181,-505.073
454.956,-1863.914,-510.135
393.331,-1852.882,-498.544
513.12,-1852.64,-513.386
509.703,-1854.883,-487.417
435.586,-1732.45,-526.368
347.369,-1836.739,-525.794
488.838,-1745.621,-513.522
498.737,-1719.923,-509.949
367.171,-1866.967,-485.388
462.866,-1841.075,-515.799
453.906,-1713.285,-521.021
524.455,-1784.178,-487.233
506.653,-1792.473,-485.925
372.465,-1800.267,-509.756
348.136,-1805.105,-523.743
453.103,-1839.772,-524.84
336.115,-1835.249,-491.599
343.104,-1784.347,-490.981
351.387,-1847.294,-491.374
483.55,-1831.6,-479.984
384.193,-1848.536,-512.658
354.54,-1732.897,-516.867
385.499,-1774.913,-521.639
379.871,-1797.785,-503.694
419.808,-1895.718,-490.666
499.561,-1820.255,-493.44
348.069,-1808.762,-484.547
370.206,-1850.485,-522.606
469.03,-1730.922,-499.121
494.453,-1854.064,-515.708
466.875,-1742.488,-515.104
362.203,-1868.375,-483.144
418.143,-1804.521,-493.817
452.986,-1823.197,-502.562
425.277,-1818.166,-488.078
475.146,-1748.506,-523.239
369.221,-1730.186,-506.403
325.854,-1767.125,-515.527
376.645,-1773.223,-520.192
476.323,-1746.434,-494.073
396.351,-1721.437,-488.287
393.382,-1765.158,-499.848
519.645,-1800.309,-496.178
371.556,-1796.267,-513.135
396.218,-1696.679,-525.937
319.215,-1820.677,-498.865
439.692,-1769.622,-493.477
458.499,-1675.811,-514.721
494.361,-1706.586,-525.603
411.342,-1889.367,-497.069
497.822,-1852.139,-490.011
390.566,-1695.232,-486.175
495.329,-1806.5,-484.922
432.701,-1868.324,-508.06
397.572,-1798.247,-505.412
499.722,-1790.744,-500.764
386.332,-1754.296,-484.243
403.109,-1834.968,-522.924
416.699,-1836.39,-510.214
402.054,-1820.355,-514.707
446.189,-1806.081,-502.45
335.123,-1747.862,-528.777
343.089,-1820.625,-510.997
485.814,-1694.047,-485.173
460.149,-1712.573,-518.685
500.06,-1711.52,-507.861
445.609,-1673.671,-521.407
362.859,-1842.587,-484.061
429.832,-1869.549,-522.173
496.825,-1851.09,-511.142
532.29,-1795.176,-489.548
440.222,-1791.015,-509.141
348.186,-1719.555,-491.495
462.828,-1848.714,-500.788
502.67,-1861.121,-494.799
397.411,-1845.125,-502.265
529.981,-1848.822,-509.452
404.885,-1738.403,-487.032
345.282,-1861.027,-525.521
389.677,-1767.707,-516.866
459.819,-1896.507,-487.866
457.389,-1742.936,-520.075
427.617,-1849.905,-515.196
462.053,-1839.254,-513.552
519.076,-1808.086,-503.895
348.701,-1782.645,-486.255
382.355,-1720.339,-484.445
423.924,-1897.056,-484.381
323.464,-1771.393,-488.633
397.142,-1751.587,-508.455
433.593,-1844.553,-485.067
453.092,-1749.866,-514.043
328.461,-1828.004,-524.106
386.856,-1767.754,-494.6
422.657,-1776.986,-499.628
342.367,-1807.005,-481.828
416.376,-1745.077,-490.082
365.787,-1700.201,-513.535
410.715,-1699.727,-498.442
353.588,-1875.332,-493.521
492.633,-1765.377,-513.618
433.787,-1697.108,-507.576
526.111,-1789.389,-511.393
323.866,-1755.798,-492.196
484.873,-1871.438,-517.286
417.663,-1718.231,-492.695
422.528,-1704.545,-520.701
440.944,-1834.367,-520.403
454.805,-1881.98,-517.296
446.878,-1843.834,-520.758
456.857,-1717.323,-490.659
516.048,-1780.807,-507.254
423.561,-1676.923,-504.725
331.489,-1805.599,-526.928
337.967,-1809.656,-519.743
529.462,-1733.309,-482.988
493.792,-1863.279,-485.349
422.227,-1708.872,-494.038
508.812,-1813.066,-522.467
446.359,-1901.306,-519.875
405.621,-1857.351,-515.87
442.99,-1742.94,-519.735
410.522,-1803.009,-516.769
526.134,-1732.489,-526.612
479.47,-1735.063,-526.407
463.573,-1874.547,-499.861
429.096,-1848.506,-495.331
406.5,-1704.257,-505.397
453.09,-1895.338,-507.406
501.168,-1756.255,-489.981
360.15,-1756.171,-514.591
487.765,-1718.165,-483.433
407.038,-1890.586,-493.167
321.205,-1823.823,-520.073
468.791,-1777.771,-501.193
348.721,-1842.747,-487.223
418.241,-1729.306,-495.651
383.992,-1709.885,-526.147
500.844,-1764.593,-486.949
539.964,-1776.021,-488.688
458.472,-1765.431,-483.719
493.834,-1852.34,-482.243
337.429,-1729.324,-520.139
456.73,-1683.721,-525.658
409.585,-1702.009,-516.473
480.351,-1873.23,-489.543
533.223,-1828.227,-514.192
437.727,-1812.005,-519.44
498.552,-1792.648,-493.566
486.152,-1743.31,-518.228
374.549,-1747.037,-525.031
400.287,-1773.946,-482.806
385.462,-1835.94,-486.61
519.445,-1722.11,-501.409
467.52,-1825.619,-512.018
364.91,-1720.187,-520.886
462.658,-1698.179,-508.178
440.103,-1874.418,-510.126
360.864,-1839.749,-506.021
339.035,-1811.218,-512.878
461.26,-1744.741,-517.883
358.933,-1724.92,-508.715
425.195,-1715.909,-515.673
460.78,-1818.078,-503.255
467.797,-1788.982,-499.014
381.726,-1727.329,-510.867
516.923,-1718.916,-498.222
460.37,-1887.032,-494.896
490.073,-1726.86,-510.606
362.195,-1851.876,-510.475
416.809,-1682.689,-525.05
517.506,-1866.134,-519.201
523.032,-1785.648,-514.396
461.932,-1747.367,-512.674
425.502,-1881.283,-505.165
368.119,-1744.82,-502.329
440.877,-1790.966,-488.045
438.515,-1887.421,-505.921
348.548,-1827.74,-521.463
420.885,-1677.385,-486.666
394.302,-1768.333,-497.983
527.836,-1829.764,-495.938
503.016,-1847.383,-519.501
502.24,-1750.331,-493.58
433.735,-1754.726,-494.86
507.549,-1811.923,-511.912
487.415,-1720.152,-491.631
475.719,-1762.895,-499.264
516.647,-1774.482,-522.35
424.756,-1784.776,-519.423
379.598,-1728.691,-501.648
480.619,-1706.104,-496.936
374.648,-1697.828,-505.961
440.25,-1745.403,-495.11
434.459,-1832.543,-499.092
390.868,-1743.49,-526.938
446.931,-1726.224,-506.149
455.524,-1736.393,-513.225
522.832,-1750.299,-506.58
424.737,-1787.352,-520.559
421.187,-1700.183,-520.873
477.792,-1691.01,-494.485
506.198,-1776.89,-493.535
440.418,-1684.287,-506.23
502.979,-1793.988,-507.03
464.808,-1729.456,-511.712
486.464,-1784.212,-516.39
387.819,-1833.705,-512.384
455.699,-1703.429,-519.759
446.092,-1861.298,-493.226
400.111,-1704.38,-511.123
465.273,-1812.114,-509.567
371.046,-1821.518,-482.588
506.122,-1779.716,-489.479
441.087,-1685.604,-488.824
401.57,-1813.796,-503.153
362.937,-1745.905,-486.803
450.744,-1765.218,-522.077
411.406,-1768.883,-482.98
506.99,-1817.856,-487.055
523.074,-1784.385,-504.169
516.619,-1813.794,-507.912
482.519,-1688.422,-513.435
443.893,-1790.863,-522.101
365.713,-1697.5,-507.699
468.25,-1877.819,-511.613
397.805,-1875.985,-480.447
349.235,-1776.32,-522.514
440.639,-1892.582,-499.187
368.268,-1784.082,-519.456
448.282,-1817.259,-492.638
493.807,-1721.957,-512.971
462.46,-1678.456,-522.026
403.736,-1803.427,-521.351
340.776,-1740.72,-516.327
348.028,-1798.388,-512.728
392.086,-1797.135,-518.67
463.849,-1879.398,-498.152
512.156,-1775.268,-498.891
403.886,-1788.261,-520.785
455.304,-1711.638,-524.986
395.613,-1873.955,-501.126
423.112,-1756.6,-511.656
536.366,-1760.741,-504.379
396.988,-1830.63,-507.828
477.626,-1747.087,-522.03
432.247,-1875.36,-522.695
456.985,-1821.201,-496.893
531.113,-1800.011,-483.479
421.032,-1768.228,-496.214
534.962,-1800.616,-515.013
390.328,-1737.264,-493.553
444.914,-1829.499,-502.592
395.752,-1856.228,-498.121
354.156,-1802.53,-525.986
433.659,-1776.328,-505.245
420.527,-1695.053,-499.709
436.071,-1819.171,-485.845
432.597,-1726.922,-519.034
425.825,-1900.118,-526.314
537.3,-1791.542,-485.187
353.377,-1736.821,-498.86
378.138,-1768.131,-499.326
500.585,-1781.8,-523.87
531.848,-1819.163,-516.388
363.451,-1713.434,-521.459
376.64,-1829.354,-496.68
