x,y,z,x,y,z
70.005,-33.093,-218.141,64.25646228627626,-35.981196845602284,-248.2459400947087
76.159,-98.453,-214.059,70.64627631440989,-95.54410352278175,-244.26199658965209
-41.504,26.932,-201.337,-37.20218779926814,21.71753159197717,-233.8403859399564
69.607,71.07,-212.586,63.5424724522079,60.570534065542695,-245.88637073173533
-53.007,-85.536,-210.929,-50.79293589098466,-79.6890712526543,-241.1245860895026
18.438,40.066,-196.183,17.233494338422503,32.761468449245065,-229.87221269562903
-21.34,-38.249,-209.197,-19.938356258656743,-37.55201627189148,-239.79527263492704
69.002,73.185,-199.311,63.1660372295604,62.5212595562807,-233.9446249806763
-15.238,118.693,-221.005,-11.475366414977772,108.5425518236568,-252.79077135105769
53.183,52.83,-216.604,48.81393215135141,43.62111199646527,-248.50565348285508
-49.93,58.36,-228.754,-43.75877523830263,50.90646202607319,-259.080377427035
-64.29,-59.978,-232.536,-60.59448186142925,-57.44266175181425,-260.6471001414939
-115.395,-34.146,-206.335,-107.24887606681358,-34.093426146051684,-236.99020896883235
41.268,105.63,-202.083,38.38004430072784,94.54923367218412,-236.03667004779552
-23.859,42.162,-204.79,-20.57891148429181,35.45338894530509,-236.962443646821
-105.309,-49.024,-217.176,-98.38161909127602,-47.59290276265059,-246.5678010883411
6.306,20.338,-235.642,5.845973932490036,14.747536505157584,-264.49229565217684
20.229,65.931,-232.819,19.04695453347539,57.00645073336271,-263.0265799820634
-60.661,28.542,-229.693,-54.57639956317364,23.15952070147328,-259.27354081683035
38.381,18.495,-196.936,35.07159798268094,12.612718668370796,-230.3632113151978
-47.526,99.427,-218.35,-40.72074945151586,90.21476711443889,-250.4274929716176
53.07,-19.835,-219.923,48.52532610504947,-23.24923612544116,-249.85781715824987
35.006,11.301,-194.418,32.13863294456692,5.918950104887013,-228.0596355070872
109.274,-9.99,-196.72,100.44976601297938,-16.923560309644134,-230.2505918899664
-56.358,36.372,-218.324,-50.11707489202677,30.29496619182593,-249.06348175081573
-9.947,5.109,-196.269,-8.74252958915834,1.3638795644311434,-229.234644554978
-70.865,-88.892,-233.487,-68.09631740516437,-83.33947731351287,-261.94298988915983
53.616,79.241,-225.629,49.2413638706987,68.84033127822858,-257.585725175504
-1.425,-69.186,-222.707,-2.1616762003944148,-65.8566771076755,-251.9001088204118
-91.453,41.655,-222.732,-82.5188046827014,35.61678658125849,-253.91720550838104
58.748,-105.787,-213.153,54.24506378160848,-101.15471341476422,-243.66466745603137
-42.958,90.442,-239.008,-37.2339566118297,81.91992416432866,-269.5268233820304
84.593,-90.242,-212.86,78.49890563697109,-88.51220947158562,-243.117388457934
-13.703,33.455,-205.102,-11.903759671367778,27.3164500494318,-237.23705141719265
-53.561,-104.954,-213.692,-52.07186624457282,-97.18090764001342,-243.90545464959752
35.559,-47.43,-195.433,32.2690846569857,-46.60204082281627,-228.20268557821768
-65.667,4.369,-199.359,-59.72815774923696,1.168601439577611,-231.6299168935976
89.991,-83.594,-201.372,83.41387482740356,-82.39687664293278,-232.6809928516
77.545,55.535,-230.257,70.92626620303255,45.24022994610478,-262.2423841656633
-70.798,-61.151,-204.93,-66.63848362473168,-57.8154347059065,-235.4695973858612
-34.189,82.121,-198.006,-28.99565218009826,73.21356278026576,-231.738787741894
-1.267,7.567,-221.663,-0.7285065428744755,3.317015268124748,-251.34529098461888
-39.659,32.702,-200.118,-35.08394214271739,26.850555800508182,-232.85482274404373
37.477,-47.23,-214.881,34.10468424948695,-47.18855511915649,-244.9830187428541
-20.689,-56.286,-191.523,-19.714308724355508,-53.04134289916988,-224.6513469108664
28.933,82.3,-203.467,27.076240854113703,72.22134877443203,-236.7915062108488
-9.938,61.007,-205.065,-7.630135971007954,52.75623806999212,-237.499255415401
-53.314,-68.982,-223.977,-50.56225383825252,-65.10289623854946,-252.847444411962
1.625,-33.43,-213.759,0.9222191693116168,-33.691016631316955,-243.9878976586486
-95.806,-17.094,-212.916,-88.13113460474506,-18.46761501831245,-243.2801979187209
45.725,34.516,-235.312,41.83999712259413,26.855144347692075,-265.1280848638222
-113.464,11.856,-230.281,-103.88595928877484,7.574181979746291,-260.6977197369187
50.927,-18.773,-196.591,46.34698600576752,-21.63429674870324,-229.56444417046583
-84.721,19.53,-233.085,-76.78769461900744,14.749765283983065,-262.74309161782566
18.003,19.374,-219.643,16.450594855657265,13.686111773227024,-249.9490195902173
42.718,-36.957,-220.354,39.025909292574426,-38.361944667684966,-249.98354201679905
44.019,72.822,-194.576,40.5240600162406,62.86785396360559,-229.16333705917296
-107.985,3.679,-207.714,-98.76049086849962,0.0856276720204886,-239.26824426846625
-62.913,-12.428,-228.046,-57.77857586033669,-14.168459336729134,-256.88474400055543
1.135,-2.059,-197.282,0.984184405215344,-5.279991838891815,-230.16106705457523
68.853,30.437,-233.233,62.93489578831705,22.177980644031923,-263.75504044646027
-15.819,122.348,-211.454,-12.035514771719182,112.050517497106,-243.9190499480636
6.098,-26.094,-204.842,5.332643216305772,-26.97705487599461,-236.29555664477223
26.441,-106.057,-219.373,23.58272578570308,-99.94882808903714,-249.544327242622
-68.056,-43.646,-234.53,-63.70260527307877,-42.49645851891715,-262.60891964870984
54.908,43.25,-235.028,50.02071133986167,34.59205674182254,-265.39655367197406
-91.619,-58.095,-207.217,-85.86515826671452,-55.35678308669623,-237.40868078445172
79.334,26.929,-197.531,72.40970067788282,18.6754158875239,-231.5672177734193
43.358,52.952,-192.593,39.80851540500015,44.10886757761543,-227.25453149559053
-21.893,-13.342,-231.949,-20.16488869983749,-15.597447539053569,-260.31296801740547
89.835,84.561,-202.556,81.8597034891623,72.84961510744026,-237.9644721647665
-1.395,10.523,-191.906,-0.8648766569818418,6.276358890196167,-225.714099546871
55.218,-18.133,-193.477,50.59609375198266,-21.34628351318697,-226.8012169381843
51.31,-29.315,-203.525,46.9564897002313,-31.49974348247469,-235.26395756983217
-97.492,41.001,-235.585,-88.02487203444143,34.85604400426394,-266.3540251199074
-3.943,47.765,-217.318,-2.870868608076321,40.375391915863,-248.2138665458117
41.032,-100.343,-196.2,37.627927385492,-94.6129522407329,-228.6262979388666
48.497,94.439,-203.798,44.5784689774428,83.63984232968738,-237.60728905422087
-45.461,106.818,-237.677,-38.239883979624246,97.79280068803924,-269.0136733126064
-4.198,-18.912,-198.983,-3.9770070861009774,-20.28984163717888,-231.2979056620094
16.081,59.785,-230.623,15.108563379804512,51.22482234920783,-260.8259586270318
57.442,39.779,-201.278,52.49842276444155,31.490797559122832,-234.75118549702432
-44.779,-77.153,-226.593,-42.90431124605594,-72.55688632350854,-255.34707719858363
6.781,-70.443,-239.535,5.176968526532231,-67.67055442994317,-267.57674444900624
121.155,21.737,-194.226,111.15728889397708,11.309458587548464,-229.4433826830861
-34.376,37.179,-233.37,-30.39349649036837,30.709359507459112,-262.6355127047143
-79.107,-48.038,-219.51,-73.83949035471032,-46.36424864566562,-248.71288923073703
39.936,-54.251,-190.87,36.2870121759337,-52.80531661022488,-224.32128325974665
120.022,7.855,-205.945,110.31762793672912,-1.6126437551460524,-239.4535440964601
-84.751,-88.105,-239.073,-81.57865196993501,-83.18110333933892,-267.1738414802392
44.14,59.376,-194.906,40.479278952117305,50.17996621857944,-229.3203982762764
42.467,-26.717,-236.627,38.74396427617149,-29.39523028892075,-264.9564024401579
-54.023,74.069,-213.259,-47.30029030775046,65.8167043018014,-245.33941955314705
-32.476,15.795,-194.504,-29.020384749358136,11.295936327881943,-227.813723181524
14.22,38.513,-223.865,13.33747150892615,31.3484427059591,-254.13342122613835
-35.302,-80.543,-219.288,-34.105945239184415,-75.42983314181676,-248.7986589782572
-75.455,88.05,-237.387,-66.39407796208675,80.16453970177669,-269.0056235864583
-13.132,-87.554,-221.908,-13.47861652209174,-81.97703428925679,-251.41421573198247
76.146,-24.273,-220.52,69.57071025454104,-28.35030759040611,-250.87851197534687
40.412,-84.764,-211.425,36.85764512186898,-81.01915072665857,-241.99015451660284
-15.195,80.838,-190.09,-12.154810449482596,71.75152752521466,-224.7319823558888
-81.291,17.005,-230.925,-73.6278374875705,12.546266037822988,-260.57049087653013
-76.427,-26.49,-196.702,-70.55050092483502,-26.75332080930774,-228.6718972660827
-9.125,16.808,-237.561,-8.334448622936986,11.890065383886702,-266.05956204326725
-73.091,-74.866,-206.265,-69.34266375589766,-70.02309377481255,-236.6829398253884
-65.255,52.852,-205.683,-58.09966396837967,45.99793803589334,-238.28527791610736
-7.758,84.764,-233.41,-5.73693631006356,75.48745181895508,-263.90251350115176
-84.599,-85.346,-224.781,-80.83092240633862,-80.13179304331534,-253.6198516536868
111.606,6.761,-233.477,102.42664350795648,-2.512899518273609,-265.14620285934063
-18.535,42.624,-198.344,-15.680926655185171,35.687015015570296,-231.5394838024985
64.954,-96.196,-212.353,60.12760744618501,-92.6230030016275,-242.8315627442912
-3.611,-59.681,-236.815,-4.122397469641149,-57.86616211470056,-264.69771798194546
-121.113,4.87,-204.333,-110.98528049548864,1.0638414586126737,-236.4064851305265
-17.738,96.198,-191.294,-13.9719952328704,86.4701394104927,-225.77527552349864
10.131,-84.352,-201.333,8.428421393559578,-79.059840372079,-233.19163582649685
45.164,86.612,-220.278,41.59442505753471,76.18522385470735,-252.4950505809429
-71.911,-8.988,-238.472,-65.93767731759216,-11.354914782380058,-266.8561949707458
24.922,-39.008,-225.343,22.2206019353332,-39.36392972021247,-254.5064637034037
-7.555,13.272,-197.404,-6.7089756850553615,8.856224053997535,-230.4085787817459
-33.239,63.824,-237.686,-29.08175185895746,56.1193619399551,-267.3768727841127
78.95,73.334,-225.425,72.15737602093186,62.41509396984509,-258.38659574015134
-69.747,-13.287,-197.063,-63.90771973683454,-14.865133986586937,-229.32656371278185
15.39,31.188,-227.663,14.22575007642496,24.59600589217495,-257.4810316070476
-68.216,34.858,-215.61,-61.062049665799165,28.982993556911367,-246.74525742889995
-22.683,76.474,-231.438,-19.21534729593896,67.78702767459254,-261.8481570830108
75.043,-38.895,-236.521,69.00711130524354,-42.14303756444072,-265.2674290675997
-81.293,92.647,-217.503,-71.37436306013839,84.23573626576774,-250.4759475267028
-0.049,-36.28,-239.618,-0.6455134234774598,-36.827311150721854,-267.3114051179709
34.55,98.75,-209.554,32.21403607959718,88.10041484786555,-242.57153128488892
-90.329,5.987,-206.011,-82.12441022293949,2.393843126851245,-237.6792394955032
34.915,-8.943,-220.214,31.708011945866048,-12.525491508519544,-250.28829696307952
-79.462,-66.174,-216.796,-74.92267299350014,-62.42616738150423,-246.1394534156568
-93.943,80.781,-225.405,-83.38293801787303,73.0187463592584,-258.1033331156016
