orig_x,orig_y,orig_z,comp_x,comp_y,comp_z
-15.7314,-55.8289,-197.9018,-16.9097,-61.8718,-196.7256
40.0442,-71.8014,-215.6711,42.4704,-78.2651,-217.3405
-61.6396,-48.6717,-211.8076,-66.0008,-53.3456,-212.2849
33.9244,-33.5048,-232.1352,36.5778,-36.1359,-235.2999
-49.9945,21.9161,-191.2854,-53.9078,23.6221,-188.6714
90.2544,-23.0439,-195.5552,97.4876,-23.4847,-195.0437
-29.1915,42.9972,-234.1915,-31.7465,46.2306,-236.4117
0.025,42.1776,-236.2614,0.2178,45.4639,-238.9662
43.0052,-63.2203,-203.0283,45.8879,-69.1588,-203.3419
-62.9138,21.7865,-206.4607,-68.0648,23.8631,-205.5985
26.0805,-26.1512,-211.3698,28.374,-28.7548,-212.4518
6.1852,42.5192,-226.9786,7.0689,46.0463,-228.9598
13.5511,-82.1949,-193.2842,14.0185,-90.4675,-191.8982
36.0438,-26.8735,-194.6275,39.1563,-29.6483,-193.3442
54.9681,-51.7684,-228.4573,58.8128,-55.4453,-231.3975
-59.6482,22.2457,-227.1982,-64.6927,24.3459,-228.4606
-42.4443,-52.3433,-231.8858,-45.6035,-57.0143,-234.3245
16.1078,-47.5425,-228.7648,17.1369,-51.8762,-231.5819
-23.3015,-19.8113,-192.0099,-24.9044,-22.1982,-189.8516
-53.1621,-71.5207,-224.2993,-56.5989,-78.1434,-225.7933
42.6774,60.5284,-216.8099,47.4903,65.4415,-217.2655
-63.0167,-53.9351,-191.4511,-67.1536,-59.5423,-189.4652
-54.0755,-56.7844,-207.8004,-57.7965,-62.5386,-207.8111
-58.8494,-8.8983,-228.1406,-63.5596,-9.3209,-230.0065
-27.0954,-56.8965,-225.9822,-29.1932,-62.356,-228.0539
19.8954,11.754,-231.5303,21.9024,13.0073,-234.3752
-19.91,11.9491,-193.7337,-21.2704,12.9588,-191.8049
-47.5058,-22.082,-197.7155,-51.0656,-24.4246,-196.2192
55.6978,-8.1288,-193.7925,60.7771,-8.5897,-192.4221
-71.4882,22.9003,-208.9692,-77.407,25.1987,-208.2061
8.2879,29.3822,-201.1682,9.5593,32.1077,-200.2177
-33.7315,1.3062,-234.7108,-36.4687,1.6379,-237.4878
35.8498,65.443,-191.8664,39.9953,70.4692,-189.5068
92.2534,-23.7822,-203.4477,99.7088,-24.0114,-203.8214
7.0505,52.2994,-201.2401,8.2404,56.5786,-200.1146
54.6436,66.8371,-211.7986,60.6805,72.1974,-211.4673
